X, Y, Z
2.1320049365999996, -0.6053841178, 10.0163554036
2.129612114, -0.5575276658, 10.042676452199998
2.1343977592, -0.5862415369999999, 10.0402836296
2.1439690496, -0.5742774239999999, 10.030712339199999
2.1535403399999997, -0.5862415369999999, 10.037890806999998
2.1559331626, -0.5718846014, 10.0235338714
2.141576227, -0.5647061335999999, 9.999605645399999
2.1200408235999997, -0.5958128274, 10.030712339199999
2.1176480009999996, -0.6101697629999999, 10.030712339199999
2.1056838879999997, -0.6077769404, 10.0546405652
2.1367905817999997, -0.5862415369999999, 10.04985492
2.1320049365999996, -0.5862415369999999, 10.045069274799998
2.1391834043999998, -0.5886343596, 10.013962581
2.1463618722, -0.5910271822, 10.042676452199998
2.1104695332, -0.6388836341999999, 10.1312108884
2.1343977592, -0.6005984726, 10.033105161799998
2.1320049365999996, -0.5862415369999999, 10.0713903234
2.1343977592, -0.6053841178, 10.0163554036
2.1559331626, -0.5862415369999999, 10.0402836296
2.1391834043999998, -0.5862415369999999, 9.9924271776
2.129612114, -0.5958128274, 10.0283195166
2.1439690496, -0.5838487144, 10.0187482262
2.1463618722, -0.5862415369999999, 10.033105161799998
2.1248264688, -0.6077769404, 10.033105161799998
2.1367905817999997, -0.5982056499999999, 10.0522477426
2.141576227, -0.5886343596, 10.0354979844
2.141576227, -0.5670989562, 10.033105161799998
2.1248264688, -0.5934200047999999, 10.025926693999999
2.1200408235999997, -0.5814558917999999, 10.0283195166
2.129612114, -0.5886343596, 10.045069274799998
